ID,MHPD_0,MHPD_15,MHPD_20,MHPD_25,MHPD_30,MT_0,MT_15,MT_20,MT_25,MT_30
0,0.0,0.757617281298813,0.9422565905435886,0.9953105638017635,0.9999253803211879,0.0,0.73325,0.9129,0.98245,0.9978
1,0.0,0.6166317312153657,0.8498065901062195,0.9704277510450089,0.9979415893183682,0.0,0.59905,0.81335,0.94375,0.99105
2,0.0,0.3917900765904292,0.6570028022221688,0.8772471932402167,0.9779742888838889,0.0,0.38395,0.6284,0.8376,0.9553
3,0.0,0.4686030556788764,0.7057034155394041,0.8928617595020114,0.9792892388430177,0.0,0.45765,0.67875,0.85925,0.9592
4,0.0,0.4021482179740359,0.6457750873460462,0.8584110660925903,0.9688490910284379,0.0,0.38725,0.62095,0.8178,0.94005
5,0.0,0.3855468487801458,0.6058912640457709,0.8147461290199296,0.9455102905082089,0.0,0.37325,0.58445,0.78325,0.91825
6,0.0,0.29541218842543415,0.509299344051334,0.7390291451406041,0.9075479485120236,0.0,0.2884,0.48715,0.7004,0.8693
7,0.0,0.266228264392499,0.4783941544375393,0.715578603137955,0.8963006697209261,0.0,0.25355,0.45555,0.6812,0.86195
8,0.0,0.3026682054855234,0.4965210205361822,0.7094778171175962,0.8802507920784446,0.0,0.29435,0.475,0.6785,0.84635
9,0.0,0.2097241013307346,0.40760202604347273,0.6477846214473166,0.8524873662764536,0.0,0.2034,0.399,0.6204,0.81375
10,0.0,0.1882218611476011,0.3671502066572191,0.5960443439249875,0.8095209890681508,0.0,0.1846,0.35075,0.56125,0.76665
11,0.0,0.29151745020300335,0.4658486072167979,0.6651092689997621,0.8409840186328483,0.0,0.2834,0.45245,0.6413,0.8089
12,0.0,0.25970037515228983,0.4284530311253788,0.6291634622830493,0.8148180667441906,0.0,0.26115,0.42635,0.61315,0.7873
13,0.0,0.1938063313956726,0.3502318377538599,0.5532402817938347,0.7584160618420057,0.0,0.1915,0.33965,0.52725,0.72385
14,0.0,0.18976925560443558,0.3542937799312691,0.5674918030305853,0.7771016381536441,0.0,0.1858,0.34335,0.5385,0.7379
15,0.0,0.18102243190609024,0.33355670852119934,0.5360313194515938,0.7452749612023933,0.0,0.181,0.32525,0.5138,0.70835
16,0.0,0.14897950438732743,0.28834597439650345,0.4816333967917704,0.6933548996836594,0.0,0.1454,0.27605,0.4629,0.65505
17,0.0,0.13851168689971693,0.27507626867349544,0.46759863791153466,0.6819199615713594,0.0,0.136,0.26625,0.4509,0.64765
18,0.0,0.1217163158763489,0.2530409970554294,0.4428932385039821,0.6590388219682453,0.0,0.12125,0.24395,0.4211,0.6244
19,0.0,0.17376373456021732,0.31608661423463313,0.506894830111559,0.7109021600597857,0.0,0.16975,0.3025,0.4822,0.6746
20,0.0,0.11295384841186695,0.23710599753390327,0.41926906529352703,0.6322025911231797,0.0,0.1114,0.2284,0.39615,0.5955
21,0.0,0.11692832026503952,0.24528999153323283,0.4327453799757295,0.6492831104607161,0.0,0.1125,0.2348,0.41145,0.617
22,0.0,0.10300656022035615,0.22311482131991545,0.4027143569466063,0.6162783619646663,0.0,0.10265,0.21655,0.3848,0.5856
23,0.0,0.16861767791132853,0.3007471581379627,0.4800421548741679,0.6788799256015408,0.0,0.16145,0.29195,0.46315,0.64965
24,0.0,0.22084010575751722,0.34383557115913865,0.4989178424324676,0.669819535115181,0.0,0.22075,0.33915,0.4904,0.64605
25,0.0,0.09955935709064423,0.19668755120460835,0.3433715850736597,0.5295794366420492,0.0,0.0999,0.1936,0.3311,0.5083
26,0.0,0.12912724035427825,0.24306010461468952,0.407147735455744,0.603130240274904,0.0,0.1322,0.2415,0.39545,0.5785
