0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0.0,0.03385,0.07075,0.1095,0.15125,0.19795,0.24815,0.3008,0.3524,0.40685,0.46205,0.52155,0.5778,0.63335,0.6848,0.73325,0.7787,0.8203,0.85715,0.88735,0.9129,0.93455,0.9516,0.9651,0.97495,0.98245,0.9882,0.9922,0.99475,0.9965,0.9978,0.99865,0.99915,0.9994,0.9996,0.99975,1.0,1.0,1.0,1.0,1.0
0.0,0.0257,0.05165,0.0812,0.11415,0.1487,0.1843,0.224,0.2642,0.31025,0.3564,0.40115,0.44875,0.4994,0.5467,0.59905,0.64555,0.69245,0.7349,0.7746,0.81335,0.84885,0.87955,0.9032,0.9258,0.94375,0.95875,0.97065,0.97985,0.9869,0.99105,0.99375,0.9958,0.99765,0.9984,0.99915,0.9995,0.99955,0.99965,0.9998,0.99995
0.0,0.00755,0.01625,0.02675,0.04015,0.05625,0.0742,0.09455,0.1205,0.15045,0.1804,0.2175,0.25535,0.29765,0.33895,0.38395,0.4317,0.4786,0.53035,0.5783,0.6284,0.67645,0.71975,0.76245,0.80095,0.8376,0.8704,0.89775,0.9212,0.93985,0.9553,0.96785,0.97675,0.9834,0.9889,0.99275,0.99545,0.9973,0.99825,0.99915,0.9995
0.0,0.01795,0.03725,0.05735,0.08155,0.10535,0.13165,0.16175,0.1924,0.2238,0.25805,0.2941,0.3333,0.373,0.41405,0.45765,0.5009,0.54795,0.5897,0.6348,0.67875,0.71935,0.7589,0.79555,0.82985,0.85925,0.88495,0.9077,0.9275,0.9458,0.9592,0.96985,0.9774,0.9842,0.98935,0.99225,0.9948,0.9969,0.9987,0.99915,0.99945
0.0,0.0119,0.02605,0.0404,0.05685,0.0746,0.0951,0.11705,0.14105,0.1663,0.19645,0.22895,0.2632,0.30165,0.345,0.38725,0.43225,0.47615,0.5249,0.5739,0.62095,0.66255,0.70515,0.7454,0.7844,0.8178,0.8501,0.877,0.90135,0.92265,0.94005,0.95405,0.96585,0.97625,0.984,0.9889,0.99215,0.9947,0.9963,0.9973,0.9981
0.0,0.01525,0.0296,0.045,0.06345,0.0816,0.10195,0.1233,0.14895,0.17435,0.2026,0.2321,0.2617,0.29975,0.33585,0.37325,0.4118,0.4545,0.4982,0.54145,0.58445,0.62725,0.66835,0.70885,0.7485,0.78325,0.81655,0.8468,0.8735,0.89935,0.91825,0.9375,0.95215,0.96445,0.9726,0.9794,0.98495,0.989,0.9931,0.99565,0.99735
0.0,0.00675,0.01475,0.02375,0.03535,0.0478,0.0608,0.0776,0.0953,0.11375,0.13875,0.163,0.1891,0.22045,0.25225,0.2884,0.32425,0.36295,0.4019,0.4445,0.48715,0.5321,0.5738,0.6151,0.66045,0.7004,0.7386,0.77565,0.8109,0.8419,0.8693,0.8944,0.9149,0.93435,0.9498,0.9618,0.97075,0.97845,0.9849,0.9901,0.9931
0.0,0.0049,0.01185,0.0192,0.02785,0.03855,0.05095,0.0654,0.07995,0.09745,0.11725,0.1374,0.1613,0.18685,0.21865,0.25355,0.2867,0.32455,0.3665,0.40975,0.45555,0.5017,0.54875,0.5932,0.63715,0.6812,0.72215,0.76115,0.7988,0.8313,0.86195,0.88775,0.91035,0.92815,0.94505,0.9585,0.96855,0.97635,0.983,0.98775,0.99115
0.0,0.01045,0.0206,0.03285,0.04615,0.0611,0.07625,0.0917,0.10965,0.1312,0.153,0.1765,0.20435,0.23255,0.26275,0.29435,0.3248,0.3587,0.39685,0.4362,0.475,0.5161,0.55705,0.5991,0.63965,0.6785,0.71695,0.75395,0.78675,0.8186,0.84635,0.87285,0.89615,0.9156,0.9332,0.9485,0.95785,0.9679,0.9758,0.9824,0.9869
0.0,0.00185,0.0055,0.0097,0.01525,0.02295,0.03135,0.0414,0.0534,0.0676,0.08315,0.1005,0.12155,0.1463,0.17365,0.2034,0.23745,0.2712,0.31075,0.3538,0.399,0.44345,0.488,0.5332,0.5785,0.6204,0.663,0.7036,0.7413,0.7795,0.81375,0.84355,0.87115,0.89555,0.9184,0.9358,0.95085,0.96365,0.97285,0.9801,0.98475
